State,R_seats,D_seats
Alabama,6,1
Alaska,1,0
Arizona,4,5
Arkansas,4,0
California,7,46
Colorado,3,5
Connecticut,0,4
Delaware,0,1
Florida,14,13
Georgia,9,5
Hawaii,0,2
Idaho,2,0
Illinois,5,13
Indiana,7,2
Iowa,1,3
Kansas,3,1
Kentucky,5,1
Louisiana,5,1
Maine,0,2
Maryland,1,7
Massachusetts,0,9
Michigan,7,7
Minnesota,3,5
Mississippi,3,1
Missouri,6,2
Montana,1,0
Nebraska,3,0
Nevada,1,3
New Hampshire,0,2
New Jersey,1,11
New Mexico,0,3
New York,6,21
North Carolina,9,3
North Dakota,1,0
Ohio,12,4
Oklahoma,4,1
Oregon,1,4
Pennsylvania,9,9
Rhode Island,0,2
South Carolina,5,2
South Dakota,1,0
Tennessee,7,2
Texas,23,13
Utah,3,1
Vermont,0,1
Virginia,4,7
Washington,3,7
West Virginia,3,0
Wisconsin,5,3
Wyoming,1,0