year,state,district,cook,rothenberg,sabatos_crystal_ball,real_clear,avg_rating,
2022,Alaska,AL,3,3.25,3,4,3.3125,
2022,Arizona,1,4,5.5,5,5,4.875,
2022,Arizona,2,5,5.5,5,6,5.375,
2022,Arizona,4,2,1.75,3,4,2.6875,
2022,Arizona,6,5,4.75,5,5,4.9375,
2022,California,3,6,6.25,6,6,6.0625,
2022,California,6,1,1,1,2,1.25,
2022,California,9,2,1.75,3,3,2.4375,
2022,California,13,4,3.25,4,4,3.8125,
2022,California,21,1,1,1,2,1.25,
2022,California,22,4,4,4,4,4,
2022,California,23,7,7,7,7,7,
2022,California,25,1,1,2,2,1.5,
2022,California,26,1,1,2,3,1.75,
2022,California,27,4,4.75,5,5,4.6875,
2022,California,40,6,6.25,6,6,6.0625,
2022,California,41,5,7,6,6,6,
2022,California,45,5,5.5,5,6,5.375,
2022,California,47,3,2.5,3,4,3.125,
2022,California,49,4,2.5,3,4,3.375,
2022,Colorado,3,7,7,6,6,6.5,
2022,Colorado,5,7,7,7,7,7,
2022,Colorado,7,2,1.75,3,3,2.4375,
2022,Colorado,8,4,4,4,5,4.25,
2022,Connecticut,2,2,1,2,4,2.25,
2022,Connecticut,3,1,1,1,2,1.25,
2022,Connecticut,5,4,2.5,3,4,3.375,
2022,Florida,2,7,7,7,7,7,
2022,Florida,4,7,7,7,6,6.75,
2022,Florida,7,7,6.25,7,6,6.5625,
2022,Florida,9,1,1,1,2,1.25,
2022,Florida,13,6,6.25,6,6,6.0625,
2022,Florida,15,6,6.25,6,6,6.0625,
2022,Florida,16,7,7,7,7,7,
2022,Florida,22,1,1,1,2,1.25,
2022,Florida,23,1,1,1,3,1.5,
2022,Florida,27,5,6.25,6,6,5.8125,
2022,Florida,28,7,7,7,6,6.75,
2022,Georgia,2,2,1,2,4,2.25,
2022,Georgia,6,7,6.25,7,7,6.8125,
2022,Georgia,12,7,7,7,7,7,
2022,Illinois,6,2,1.75,2,4,2.4375,
2022,Illinois,8,1,1,1,2,1.25,
2022,Illinois,11,2,1,2,2,1.75,
2022,Illinois,13,3,2.5,3,4,3.125,
2022,Illinois,14,2,1.75,3,4,2.6875,
2022,Illinois,17,4,3.25,4,5,4.0625,
2022,Indiana,1,4,2.5,4,4,3.625,
2022,Iowa,1,5,5.5,6,5,5.375,
2022,Iowa,2,5,4.75,6,6,5.4375,
2022,Iowa,3,5,4,5,5,4.75,
2022,Kansas,3,3,3.25,4,5,3.8125,
2022,Maine,2,4,3.25,4,4,3.8125,
2022,Maryland,1,7,7,7,7,7,
2022,Maryland,2,1,1,1,2,1.25,
2022,Maryland,6,2,1.75,3,4,2.6875,
2022,Massachusetts,9,1,1,1,1,1,
2022,Michigan,3,3,2.5,3,4,3.125,
2022,Michigan,4,7,7,7,7,7,
2022,Michigan,7,4,3.25,4,4,3.8125,
2022,Michigan,8,3,2.5,4,5,3.625,
2022,Michigan,10,6,5.5,5,6,5.625,
2022,Michigan,11,1,1,1,2,1.25,
2022,Minnesota,1,6,7,6,6,6.25,
2022,Minnesota,2,4,4,4,5,4.25,
2022,Minnesota,3,1,1,1,2,1.25,
2022,Minnesota,8,7,7,7,7,7,
2022,Missouri,2,7,7,7,6,6.75,
2022,Montana,1,5,5.5,5,6,5.375,
2022,Nebraska,1,7,7,7,7,7,
2022,Nebraska,2,4,4,5,5,4.5,
2022,Nevada,1,4,3.25,3,4,3.5625,
2022,Nevada,2,7,7,7,7,7,
2022,Nevada,3,4,3.25,4,4,3.8125,
2022,Nevada,4,3,2.5,3,4,3.125,
2022,New Hampshire,1,4,3.25,3,5,3.8125,
2022,New Hampshire,2,3,1.75,2,4,2.6875,
2022,New Jersey,1,1,1,1,2,1.25,
2022,New Jersey,2,7,7,7,7,7,
2022,New Jersey,3,2,1,2,3,2,
2022,New Jersey,5,2,1,2,3,2,
2022,New Jersey,7,5,4.75,5,5,4.9375,
2022,New Jersey,11,1,1,1,3,1.5,
2022,New Mexico,1,1,1,2,2,1.5,
2022,New Mexico,2,4,4,5,5,4.5,
2022,New Mexico,3,2,1,2,3,2,
2022,New York,1,5,4.75,5,7,5.4375,
2022,New York,2,6,5.5,6,7,6.125,
2022,New York,3,3,3.25,4,4,3.5625,
2022,New York,4,3,2.5,3,4,3.125,
2022,New York,11,6,6.25,6,6,6.0625,
2022,New York,17,4,2.5,3,4,3.375,
2022,New York,18,3,3.25,3,4,3.3125,
2022,New York,19,4,4,4,5,4.25,
2022,New York,20,1,1,1,2,1.25,
2022,New York,22,4,4,5,5,4.5,
2022,New York,25,1,1,2,2,1.5,
2022,North Carolina,1,2,1.75,3,4,2.6875,
2022,North Carolina,6,2,1,2,2,1.75,
2022,North Carolina,7,7,7,7,7,7,
2022,North Carolina,9,7,7,7,7,7,
2022,North Carolina,13,4,4,5,5,4.5,
2022,North Carolina,14,1,1,1,2,1.25,
2022,Ohio,1,4,4,4,5,4.25,
2022,Ohio,7,7,7,7,7,7,
2022,Ohio,9,3,2.5,3,4,3.125,
2022,Ohio,10,7,7,7,7,7,
2022,Ohio,13,4,4,4,5,4.25,
2022,Ohio,15,7,7,7,7,7,
2022,Oregon,4,3,2.5,3,4,3.125,
2022,Oregon,5,4,4,5,4,4.25,
2022,Oregon,6,4,4,3,4,3.75,
2022,Pennsylvania,1,7,7,6,5,6.25,
2022,Pennsylvania,6,1,1,2,3,1.75,
2022,Pennsylvania,7,4,4,4,5,4.25,
2022,Pennsylvania,8,4,4,4,5,4.25,
2022,Pennsylvania,10,7,7,7,6,6.75,
2022,Pennsylvania,12,2,1,2,2,1.75,
2022,Pennsylvania,17,4,4,4,5,4.25,
2022,Rhode Island,2,4,3.25,4,5,4.0625,
2022,South Carolina,1,7,7,7,7,7,
2022,Tennessee,5,6,6.25,7,6,6.3125,
2022,Texas,15,6,5.5,6,5,5.625,
2022,Texas,23,7,7,7,7,7,
2022,Texas,28,3,2.5,4,4,3.375,
2022,Texas,34,4,3.25,4,4,3.8125,
2022,Virginia,1,7,7,7,7,7,
2022,Virginia,2,4,4,4,5,4.25,
2022,Virginia,5,7,7,7,7,7,
2022,Virginia,7,4,3.25,3,4,3.5625,
2022,Virginia,10,2,1.75,2,3,2.1875,
2022,Washington,3,5,5.5,6,6,5.625,
2022,Washington,5,7,7,7,7,7,
2022,Washington,6,1,1,1,2,1.25,
2022,Washington,8,4,4,3,4,3.75,
2022,Wisconsin,1,7,7,7,7,7,
2022,Wisconsin,3,6,5.5,6,5,5.625,
,,,,,,,,4.238594891